Soil Potassium:;Soil el. conductivity NPK:;Soil temp. NPK:
0.001196411;0.02987013;0.253309797
0.001196411;0.02987013;0.244571933
0.001196411;0.029002597;0.237422771
0.001196411;0.02987013;0.222594881
0.001196411;0.029441558;0.216019417
0.001196411;0.029;0.210150044
0.001196411;0.029762987;0.222859665
0.001429013;0.031744589;0.258605472
0.001595214;0.034198052;0.337423654
0.001595214;0.035672727;0.375551633
0.001595214;0.033766234;0.4
0.001595214;0.033766234;0.424426302
0.001595214;0.032899351;0.431707855
0.001196411;0.027125541;0.361606355
0.001196411;0.023666667;0.297219771
0.001196411;0.023376623;0.278022948
0.001196411;0.023376623;0.264695499
0.001019076;0.023119481;0.242718447
0.001196411;0.023269481;0.240732568
0.001196411;0.023376623;0.235105914
0.001196411;0.023376623;0.228817299
0.001196411;0.023376623;0.225066196
0.001196411;0.023376623;0.237687555
0.001196411;0.024246753;0.273698147
0.001196411;0.02488961;0.295410415
0.001196411;0.026406926;0.315533981
0.001196411;0.027705628;0.366107679
0.001196411;0.027272727;0.361076787
0.001196411;0.026405195;0.368159753
0.001196411;0.026148052;0.378751103
0.001196411;0.025683983;0.367166814
0.001196411;0.02511039;0.363989409
0.001196411;0.024242424;0.367166814
0.00116321;0.023376623;0.342674316
0.000930568;0.022582251;0.339364519
0.000797607;0.022077922;0.306928508
0.000797607;0.022077922;0.28799647
0.000797607;0.021354978;0.276610768
0.000797607;0.020779221;0.266879965
0.000797607;0.020779221;0.255957635
0.000797607;0.020672078;0.244373345
0.000797607;0.020564935;0.236098853
0.000797607;0.020022727;0.229920565
0.000797607;0.019480519;0.221866726
0.000797607;0.020779221;0.236319506
0.000797607;0.022077922;0.26125331
0.000864008;0.022185065;0.29435128
0.001196411;0.023722078;0.386032657
0.001196411;0.023376623;0.37146955
0.001196411;0.022943723;0.362312445
0.000797607;0.022077922;0.365313327
0.000797607;0.022077922;0.381465137
0.000797607;0.022077922;0.390004413
0.000797607;0.019480519;0.362135922
0.000797607;0.019190476;0.337157988
0.000797607;0.018181818;0.289055605
0.000797607;0.018181818;0.274051192
0.000797607;0.017458874;0.258870256
0.000797607;0.01775;0.248896734
0.000797607;0.016883117;0.241615181
0.000797607;0.016883117;0.23451015
0.000797607;0.016968831;0.218446602
0.000797607;0.017318182;0.214585172
0.000797607;0.018181818;0.236098853
0.000797607;0.018686147;0.278729038
0.000797607;0.019480519;0.313680494
0.000797607;0.020779221;0.365842895
0.000797607;0.019480519;0.354810238
0.000797607;0.02034632;0.388680494
0.000797607;0.019480519;0.414298323
0.000797607;0.019155844;0.399735216
0.000797607;0.016883117;0.329214475
0.000797607;0.015584416;0.265225066
0.00075334;0.015294372;0.244924978
0.000576005;0.014285714;0.235436893
0.000584965;0.0145;0.224448367
0.000398804;0.014392857;0.213062665
0.000398804;0.014285714;0.202471315
0.000432004;0.014285714;0.19439541
0.000398804;0.014285714;0.187444837
0.000398804;0.014285714;0.179832304
0.000398804;0.014285714;0.175529568
0.000398804;0.014285714;0.171006178
0.000398804;0.014285714;0.170962048
0.000797607;0.015584416;0.190092674
0.000797607;0.016738095;0.256619594
0.000797607;0.018181818;0.285966461
0.000797607;0.018831169;0.346425419
0.000797607;0.019770563;0.378089144
0.000797607;0.019480519;0.345542807
0.000797607;0.019266234;0.342674316
0.000797607;0.019914286;0.452228597
0.000797607;0.019480519;0.475507502
0.000797607;0.018181818;0.429611651
0.000797607;0.016233766;0.387246249
0.000797607;0.015584416;0.359223301
0.000531705;0.014718615;0.326390115
0.000398804;0.014142857;0.303353928
0.000398804;0.012987013;0.277140335
0.000398804;0.012987013;0.264894086
0.000398804;0.012987013;0.24966902
0.000398804;0.012987013;0.240070609
0.000398804;0.012987013;0.232127096
0.000398804;0.012987013;0.210282436
0.000398804;0.012987013;0.226831421
0.000398804;0.013419913;0.286672551
0.000797607;0.015584416;0.405229479
0.000611446;0.015238961;0.37819947
0.000398804;0.014285714;0.370476611
0.000797607;0.015584416;0.437069726
0.000797607;0.015584416;0.486098853
0.000553872;0.014718615;0.478553398
0.000398804;0.012987013;0.418270079
0.000398804;0.012467532;0.382612533
0.000398804;0.011688312;0.353398058
0.000398804;0.010679654;0.330097087
0.000398804;0.01038961;0.304148279
0.000398804;0.01038961;0.290379523
0.000398804;0.01038961;0.278243601
0.000398804;0.01038961;0.265887026
0.000398804;0.01038961;0.253309797
0.000398804;0.01038961;0.250661959
0.000398804;0.01038961;0.253839365
0.000398804;0.01038961;0.249338041
0.000398804;0.01038961;0.241659312
0.000398804;0.010822511;0.348631951
0;0;0.415887026
0;0;0.384819064
0;0;0.465136805
0;0;0.408649603
0;0;0.365313327
0;0;0.339894086
0;0;0.311893204
0;0;0.275022065
0;0;0.259267432
0;0;0.24086496
0;0;0.23027361
0;0;0.221866726
0;0;0.212268314
0;0;0.208296558
0;0;0.212599294
0;0;0.256751986
0;0;0.281774051
0;0;0.363195057
0;0;0.402250662
0;0;0.375441306
0;0;0.337157988
0;0;0.311893204
0;0;0.300639894
0;0;0.288062665
0;0;0.266548985
0;0;0.255692851
0;0;0.243380406
0;0;0.229037952
0;0;0.220211827
0;0;0.216240071
0;0;0.206972639
0;0;0.248676081
0;0;0.358693733
0;0;0.413945278
0;0;0.349955869
0;0;0.320829656
0;0;0.281112092
0;0;0.267541924
0;0;0.257502207
0;0;0.245697264
0;0;0.21690203
0;0;0.217563989
0;0;0.214651368
0;0;0.263570168
0;0;0.288614298
0;0;0.320167696
0;0;0.323477493
0;0;0.319505737
0;0;0.327978817
0;0;0.317961165
0;0;0.27184466
0.012429412;0.246030303;0.225772286
0.01668335;0.272512987;0.213923213
0.023030907;0.447623377;0.203000883
0.021934197;0.432753247;0.20631068
0.021169791;0.416162338;0.208627538
0.019740778;0.387772727;0.201345984
0.021296112;0.422948052;0.19505737
0.022306361;0.437836364;0.191085613
0.023183729;0.454652597;0.18870256
0.021468993;0.428892857;0.190092674
0.019940179;0.392555844;0.19505737
0.0184779;0.365912338;0.204324801
0.017647059;0.350218615;0.210944395
0.016749751;0.332207792;0.200794351
0.015872383;0.309524675;0.197374228
0.014578531;0.293396104;0.193733451
0.012097042;0.236510822;0.18380406
0.010036491;0.200435065;0.172992056
0.009526886;0.189175325;0.167586055
0.008973081;0.178935065;0.16129744
0.008773679;0.170993506;0.157325684
0.008153274;0.16334632;0.154015887
0.00777667;0.157792208;0.15070609
0.007244965;0.146753247;0.138570168
0.007178465;0.141906494;0.134819064
0.007045597;0.139607143;0.135039718
0.006779661;0.135354978;0.12886143
0.006460618;0.132463204;0.123565755
0.006402991;0.129220779;0.120255958
0.006380857;0.128142857;0.123345101
0.006380857;0.130298701;0.146072374
0.006380857;0.127848485;0.155075022
0.006480558;0.128785714;0.185127979
0.005982054;0.122081169;0.230538394
0.004785643;0.094367965;0.149382171
0.004599641;0.092812987;0.142365402
0.004386839;0.091126623;0.138128861
0.004386839;0.088311688;0.124889673
0.00412097;0.085571429;0.115357458
0.003988036;0.082945455;0.109995587
0.004253878;0.086798701;0.133826125
0.00445324;0.090798701;0.221270962
0.004475507;0.090909091;0.202669903
0.00330123;0.067792208;0.124889673
0.003828514;0.076766234;0.18347308
0.004227318;0.085716883;0.235834069
0.003556032;0.071571429;0.210613416
0.003190429;0.065625974;0.175198588
0.003190429;0.064502165;0.172219771
0.003146162;0.063422078;0.167255075
0.003057494;0.061387013;0.154677846
0.002791625;0.060172078;0.149287606
0.003988036;0.079073593;0.266218005
0.00329675;0.068902597;0.217894969
0.003190429;0.066126623;0.205383936
0.003412031;0.068831169;0.233451015
0.00325683;0.066558442;0.17255075
0.003589232;0.074675325;0.258870256
0.003589232;0.074316017;0.220211827
0.004475507;0.090474026;0.322484554
0.003190429;0.067822511;0.18749212
0.003110668;0.062274583;0.200684025
0.003988036;0.079220779;0.285966461
0.003589232;0.072512987;0.259488085
0.003190429;0.066662338;0.232789056
0.003190429;0.063636364;0.226831421
0.002991027;0.061467532;0.214916152
0.002791625;0.05974026;0.201235658
0.002791625;0.058298701;0.192188879
0.002791625;0.059090909;0.212930274
0.003589232;0.072207792;0.294086496
0.003190429;0.067103896;0.262577229
0.002791625;0.058584416;0.221315093
0.002658664;0.054051948;0.196910856
0.002392822;0.05011039;0.176257723
0.002492522;0.053353896;0.165269197
0.002392822;0.05;0.145741395
0.001994018;0.042857143;0.104766108
0.001772416;0.038597403;0.071270962
0.001595214;0.037662338;0.069947043
0.002027218;0.045454545;0.140776699
0.001994018;0.04025974;0.110326567
0.001994018;0.040088312;0.110326567
0.001994018;0.039137662;0.113239188
0.001595214;0.037662338;0.098411297
0.001595214;0.037662338;0.106619594
0.001994018;0.041340909;0.143093557
0.001994018;0.044897959;0.177515446
0.002691924;0.054331169;0.253640777
0.002791625;0.054978355;0.241063548
0.002392822;0.049493506;0.186782877
0.001994018;0.042857143;0.134157105
0.001994018;0.04025974;0.11341571
0.001595214;0.036792208;0.094439541
0.001595214;0.035584416;0.086231244
0.001595214;0.033766234;0.075904678
0.001595214;0.032467532;0.063989409
0.001595214;0.031168831;0.062854621
0.001595214;0.032035714;0.071932921
0.001595214;0.034542857;0.112444837
0.001595214;0.036363636;0.12533098
0.001196411;0.025974026;0.036187114
0.001196411;0.028246753;0.071365528
0.00146228;0.030087662;0.099205649
0.001595214;0.035640693;0.14364519
0.001196411;0.02987013;0.101059135
0.001196411;0.028571429;0.093777582
0.001196411;0.027922078;0.081494557
0.001196411;0.025974026;0.064872021
0.001196411;0.025974026;0.064872021
0.001196411;0.024461039;0.058252427
0.001196411;0.025108225;0.076235658
0.001595214;0.032681818;0.230803177
0.001196411;0.02712987;0.153826756
0.000797607;0.019480519;0.16129744
0.000797607;0.022077922;0.176522507
0.001196411;0.023376623;0.252364141
0.000797607;0.022077922;0.200353045
0.000797607;0.020022727;0.188248645
0.000797607;0.018181818;0.133627538
0.000797607;0.01706679;0.125154457
0.000797607;0.016883117;0.120917917
0.000797607;0.016883117;0.122462489
0.000797607;0.016668831;0.124095322
0.000877368;0.022077922;0.281112092
0.000797607;0.022077922;0.285745808
0.000797607;0.017097403;0.162621359
0.000797607;0.016017316;0.14651368
0.000797607;0.016275325;0.14157105
0.000797607;0.015584416;0.12533098
0.000797607;0.01587013;0.175198588
0.000797607;0.01991342;0.323477493
0.000398804;0.013850649;0.138128861
0.000398804;0.012987013;0.116615181
0.000797607;0.016883117;0.300088261
0.001196411;0.029437229;0.206972639
0.000797607;0.019480519;0.075110327
0.000797607;0.019480519;0.065313327
0.001196411;0.023376623;0.178508385
0.007524068;0.149136364;0.143424537
0.005184447;0.109090909;0.071050309
0.005184447;0.103647495;0.065048544
0.004785643;0.096536797;0.056045896
0.004408973;0.090909091;0.047219771
0.004519774;0.0916;0.065975287
0.004885344;0.098051948;0.141041483
0.004320372;0.083766234;0.108009709
0.003589232;0.075974026;0.078287732
0.003190429;0.063636364;0.053398058
0.002392822;0.052727273;0.021624007
0.002791625;0.058874459;0.072815534
0.002392822;0.049350649;0.070167696
0.001994018;0.043506494;0.042365402
0.001728149;0.038095238;0.026919682
0.001794616;0.039393939;0.048433363
0.000797607;0.022077922;0.065975287
0.000797607;0.018181818;0.064430715
0.000797607;0.018614719;0.079876434
0.000797607;0.019480519;0.093446602
0.000478564;0.014285714;0.034863195
0.000797607;0.015584416;0.056487202
0.000398804;0.009090909;0.053398058
0;0;0.07325684
0;0;0.126875552
0;0;0.238305384
0;0;0.116615181
0;0;0.074139453
0;0;0.059686673
0;0;0.053398058
0;0;0.064430715
0;0;0.154677846
0;0;0.185458959
0;0;0.089143866
0;0;0.081200353
0;0;0.065313327
0;0;0.050419241
0;0;0.03168579
0;0;0.026125331
0;0;0.023609885
0;0;0.160635481
0;0;0.116946161
0;0;0.106619594
0;0;0.101059135
0;0;0.103706973
0;0;0.103706973
0;0;0.120917917
0;0;0.082524272
0;0;0.060679612
0;0;0.017652251
0;0;0.181818182
0;0;0.064651368
0;0;0.042365402
0;0;0.112533098
0;0;0.059024713
0;0;0.050750221
0;0;0.053067079
0;0;0.054721977
0;0;0.045454545
0;0;0.081862312
0;0;0.031774051
0;0;0.023609885
0;0;0.0070609
0;0;0
0;0;0.080317741
0;0;0.145631068
0;0;0.157987643
0;0;0.131509267
0;0;0.137687555
0;0;0.1179391
0;0;0.096822595
0;0;0.083848191
0;0;0.077228597
0;0;0.077890556
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.996028244
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.204187438;0.664935065;0.65842895
0.289930209;0.888311688;0.943071492
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
0.307078764;1;1
